Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR651049,2013-07-28 00:00:00,2013-01-21 14:17:55,13399149,1339914900,13399149,100,879,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000635/SRR651049,SRX180963,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP018088,PRJNA173886,,173886,SRS359573,SAMN01129962,simple,4577,Zea mays,B73 rep 1,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA057728,,public,390B1D8ECE5E7B3A46F5687FFF0BF0FE,C1304BF74D1AD9F09BBBA66D8F2E70DA
SRR651050,2013-07-28 00:00:00,2013-01-21 14:18:09,14152930,1415293000,14152930,100,927,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000635/SRR651050,SRX180964,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP018088,PRJNA173886,,173886,SRS359597,SAMN01137130,simple,4577,Zea mays,B73 rep 2,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA057728,,public,4BBFE07E7C32296BE8945CC9BCFDB7E4,8A3A92CC7849925447E5BBD032910497
SRR651051,2013-07-28 00:00:00,2013-01-21 14:20:12,19270220,1927022000,19270220,100,1262,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/000635/SRR651051,SRX181056,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP018088,PRJNA173886,,173886,SRS359689,SAMN01137222,simple,4577,Zea mays,B73 rep 3,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA057728,,public,D1E23B2D3E8BA624200380BEF2336A4C,CCEE5D522FA49160087685A93F069615
SRR651052,2013-07-28 00:00:00,2013-01-21 15:46:21,13884840,1388484000,13884840,100,911,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/000635/SRR651052,SRX181157,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP018088,PRJNA173886,,173886,SRS359690,SAMN01137223,simple,4577,Zea mays,B97 rep 1,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA057728,,public,6ABACD313AE85ED92D07C6DE5C9B7DEA,E186E751FFA0132E506703C36BB67D70
SRR766777,2013-07-28 00:00:00,2013-02-27 16:38:34,25796328,2579632800,25796328,100,1722,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/000748/SRR766777,SRX245841,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP018088,PRJNA173886,,173886,SRS398012,SAMN01924759,simple,4577,Zea mays,B97_R2,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA057728,,public,AC1291A1B8FF446B21DC458765276E1D,F09A5062891C884E0981A182920DB627
SRR766776,2013-07-28 00:00:00,2013-02-27 16:36:15,24503625,2450362500,24503625,100,1627,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/000748/SRR766776,SRX245843,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP018088,PRJNA173886,,173886,SRS398013,SAMN01924760,simple,4577,Zea mays,B97_R3,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA057728,,public,46763CA1BB3D9D1E1A40DB4AF11AB640,54A8748616A41B15F4ABBCBD260A63E4
SRR651053,2013-07-28 00:00:00,2013-01-21 15:57:09,17172512,1717251200,17172512,100,1159,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/000635/SRR651053,SRX181160,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP018088,PRJNA173886,,173886,SRS359793,SAMN01137326,simple,4577,Zea mays,CML103 rep 1,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA057728,,public,AA2DF1A262876F3B8C275AFAB35DD170,00F102F7DD01C414D93337A63D8ED467
SRR767675,2013-07-28 00:00:00,2013-02-28 09:25:07,20322950,2032295000,20322950,100,1340,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/000749/SRR767675,SRX245844,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP018088,PRJNA173886,,173886,SRS398014,SAMN01924761,simple,4577,Zea mays,CML103_R2,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA057728,,public,03D116070327AE078289F82376E7564B,0A1CE2E775CBF39D7D5604FBA88264F9
SRR767742,2013-07-28 00:00:00,2013-02-28 11:56:01,22059820,2205982000,22059820,100,1458,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/000749/SRR767742,SRX245845,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP018088,PRJNA173886,,173886,SRS398015,SAMN01924762,simple,4577,Zea mays,CML103_R3,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA057728,,public,D61A97F807FFCECF64830A5CB5B9C45D,3A6D5A57657F3C58E8E5ECF91186D864
SRR767719,2013-07-28 00:00:00,2013-03-01 15:07:59,10108029,1010802900,10108029,100,691,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/000749/SRR767719,SRX245847,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP018088,PRJNA173886,,173886,SRS398017,SAMN01924763,simple,4577,Zea mays,CML133,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA057728,,public,4E0B1EE0E98CAAC5F6C9421C565230B5,15143A521DF9F6B4C0FD3BB206A0BB44
