Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1016026,2013-11-13 00:00:00,2013-11-01 08:09:57,117047826,23409565200,117047826,200,15217,,https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/000992/SRR1016026,SRX371847,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031872,PRJNA223677,,223677,SRS497301,SAMN02381130,simple,4577,Zea mays,B73xKi11,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA105223,,public,3548177960298CDED4997A7AF76AC0E9,EA55A3D6B8FF6560AF9550F08C169A0F
SRR1020269,2013-11-13 00:00:00,2013-11-01 12:45:13,81078730,8107873000,81078730,100,5032,,https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/000996/SRR1020269,SRX371854,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031872,PRJNA223677,,223677,SRS497301,SAMN02381130,simple,4577,Zea mays,B73xKi11,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA105223,,public,D4554D8669924E27EE6862A605E413F8,9B0B6F5694DEB40196633E219B46612D
SRR1020270,2013-11-13 00:00:00,2013-11-04 10:56:51,76258876,7625887600,76258876,100,4744,,https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/000996/SRR1020270,SRX371858,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031872,PRJNA223677,,223677,SRS493275,SAMN02381126,simple,4577,Zea mays,B73xOh43,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA105223,,public,F83FF63661B798062756244CF7D885C2,1FF31EA2D58005798F6BFF1FC4AFD40B
SRR1016209,2013-11-13 00:00:00,2013-11-01 11:08:22,114069200,22813840000,114069200,200,15025,,https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/000992/SRR1016209,SRX367159,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031872,PRJNA223677,,223677,SRS493275,SAMN02381126,simple,4577,Zea mays,B73xOh43,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA105223,,public,CFA9F3F9A53FB2DBBD4DF111F7581E6D,0442CCC346C5DC9DAA4238322D41C4A6
SRR1016213,2013-11-13 00:00:00,2013-11-01 12:41:20,122891848,24578369600,122891848,200,16030,,https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/000992/SRR1016213,SRX371848,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031872,PRJNA223677,,223677,SRS497302,SAMN02381131,simple,4577,Zea mays,Ki11xB73,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA105223,,public,2385996DA5878503A93B4A063BD40C98,127C532ABF9F1C4F6A45BE55DC12541B
SRR1020271,2013-11-13 00:00:00,2013-11-01 12:52:11,68673995,6867399500,68673995,100,4235,,https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/000996/SRR1020271,SRX371855,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031872,PRJNA223677,,223677,SRS497302,SAMN02381131,simple,4577,Zea mays,Ki11xB73,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA105223,,public,371A3BAD31149D3767F5AB6924A0CA6D,9AF8110C2BE4AEF25CDA16D7D2B907D0
SRR1020275,2013-11-13 00:00:00,2013-11-01 12:54:50,70061180,7006118000,70061180,100,4337,,https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/000996/SRR1020275,SRX371857,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031872,PRJNA223677,,223677,SRS497304,SAMN02381133,simple,4577,Zea mays,Ki11xMo17,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA105223,,public,312A07080243FC80C1E4BF2BCB13330B,13A3A2A75A8557D435C8C0F872A3B7EC
SRR1016214,2013-11-13 00:00:00,2013-11-01 12:14:41,122069879,24413975800,122069879,200,16147,,https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/000992/SRR1016214,SRX371850,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031872,PRJNA223677,,223677,SRS497304,SAMN02381133,simple,4577,Zea mays,Ki11xMo17,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA105223,,public,6CDD472D658893A1FF5062C006C40975,3AAC387B9A9A485714ED57A6EEB29FC2
SRR1016217,2013-11-13 00:00:00,2013-11-04 14:58:23,116341679,23268335800,116341679,200,15367,,https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/000992/SRR1016217,SRX371849,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031872,PRJNA223677,,223677,SRS497303,SAMN02381132,simple,4577,Zea mays,Mo17xKi11,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA105223,,public,9FA41561F981E9A3577D07F277799526,CF0B15CCB03BA415CD665401A75E95E2
SRR1020283,2013-11-13 00:00:00,2013-11-01 12:51:24,80850704,8085070400,80850704,100,5024,,https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/000996/SRR1020283,SRX371856,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031872,PRJNA223677,,223677,SRS497303,SAMN02381132,simple,4577,Zea mays,Mo17xKi11,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA105223,,public,5AFFC755F92A13B012B22696B53D403F,793AA5E55E02F1A3DE7FAC618B38942B
