Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1837915,2015-11-17 17:16:31,2015-03-10 20:28:24,31816635,6426960270,31816635,202,4329,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001794/SRR1837915,SRX901466,SAM12_2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055871,PRJNA277023,,277023,SRS864104,SAMN03383759,simple,4577,Zea mays,NC354,,,,,,,no,,,,,,SRA245368,,public,F2B653E4AC3CE43CDA2A6D3A2F769DAE,87682ADD43AE9AD302966AB7A6AC4545
SRR1837916,2015-11-17 17:16:31,2015-03-10 20:24:20,25791828,5209949256,25791828,202,3372,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001794/SRR1837916,SRX901467,SAM54_5,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055871,PRJNA277023,,277023,SRS864199,SAMN03383760,simple,4577,Zea mays,NC356,,,,,,,no,,,,,,SRA245368,,public,960309E4426C1DF0A0F083B6E5F56B40,F27219913AA3C6062DDADAABEE8EDDFF
SRR1837917,2015-11-17 17:16:31,2015-03-10 20:21:02,16791728,3391929056,16791728,202,2245,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001794/SRR1837917,SRX901468,SAM60_3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055871,PRJNA277023,,277023,SRS864200,SAMN03383761,simple,4577,Zea mays,NC358@,,,,,,,no,,,,,,SRA245368,,public,2DD268F74E4BD637D9630B3DC70DB8DC,D6C839EFE11AB3CCD31E1C0632BAF2F7
SRR1837918,2015-11-17 17:16:31,2015-03-10 20:24:55,26589015,5370981030,26589015,202,3636,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001794/SRR1837918,SRX901469,SAM12_3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055871,PRJNA277023,,277023,SRS864198,SAMN03383762,simple,4577,Zea mays,NC360,,,,,,,no,,,,,,SRA245368,,public,C16573A6B42131E8E8FBB879ECB68C41,F6EBCBECE9E42B2B8395E2E22EAA4695
SRR1837919,2015-11-17 17:16:31,2015-03-10 20:24:17,27041162,5462314724,27041162,202,3557,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001794/SRR1837919,SRX901470,SAM54_6,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055871,PRJNA277023,,277023,SRS864105,SAMN03383763,simple,4577,Zea mays,NC362,,,,,,,no,,,,,,SRA245368,,public,B2346D8E4B5D4A57E8ECDE8DA6D400F9,C147FA1BB24F7ADF4732128DE9FD20EB
SRR1837920,2015-11-17 17:16:31,2015-03-10 20:24:04,24323483,4913343566,24323483,202,3211,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001794/SRR1837920,SRX901471,SAM55_1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055871,PRJNA277023,,277023,SRS864197,SAMN03383764,simple,4577,Zea mays,NC364,,,,,,,no,,,,,,SRA245368,,public,789C09CB112B5E1E81A7B082BEE41DD9,5FD406881BF546A5D8376A3ED237E1F4
SRR1837921,2015-11-17 17:16:31,2015-03-10 20:23:52,27648509,5584998818,27648509,202,3773,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001794/SRR1837921,SRX901472,SAM12_4,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055871,PRJNA277023,,277023,SRS864196,SAMN03383765,simple,4577,Zea mays,NC366,,,,,,,no,,,,,,SRA245368,,public,02C82B07D128B8BB414479519BF81781,C4B3911D689FBE175B66F581858DC2D1
SRR1837922,2015-11-17 17:16:31,2015-03-10 20:32:10,52075606,10519272412,52075606,202,6856,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001794/SRR1837922,SRX901473,SAM55_2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055871,PRJNA277023,,277023,SRS864195,SAMN03383766,simple,4577,Zea mays,NC368,,,,,,,no,,,,,,SRA245368,,public,5DD65436657991FADA1E6817C7E1EDBD,A29D20CC6F2AD97163BF04D3EF63435C
SRR1837923,2015-11-17 17:16:31,2015-03-10 20:28:53,41762700,8436065400,41762700,202,5496,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001794/SRR1837923,SRX901474,SAM27_3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055871,PRJNA277023,,277023,SRS864194,SAMN03383767,simple,4577,Zea mays,ND246,,,,,,,no,,,,,,SRA245368,,public,4C47FC1FD3AC85AE25E92A02DDF8A800,34CF3E024360A371FBF0DBAE2A13B5B7
SRR1837924,2015-11-17 17:16:31,2015-03-10 20:21:48,22708717,4587160834,22708717,202,3098,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001794/SRR1837924,SRX901475,SAM10_3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055871,PRJNA277023,,277023,SRS864191,SAMN03383768,simple,4577,Zea mays,NQ508,,,,,,,no,,,,,,SRA245368,,public,9A875017E4E6331C47623882C188E959,D374D44EB8F971A01D2405E63A032B67
