Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5786200,2018-06-30 00:07:01,2017-06-30 18:45:28,23399099,4679819800,23399099,200,1671,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786200,SRX2972822,A554_III_rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327833,SAMN07259675,simple,4577,Zea mays,A554_III_rep1,,,,,,,no,,,,,,SRA582564,,public,E1E49C067A353C1567D327179484901C,98C7E891A734A4D27EA2C6481071D7FE
SRR5786201,2018-06-30 00:07:01,2017-06-30 18:45:23,15792671,3158534200,15792671,200,1223,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786201,SRX2972821,A554_III_rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327832,SAMN07259676,simple,4577,Zea mays,A554_III_rep2,,,,,,,no,,,,,,SRA582564,,public,22C0D11F05196ED6AA61DD11A789DD3F,924D93F94A56E090442678745236AB0E
SRR5786372,2018-06-30 00:07:01,2017-06-30 19:13:17,14154827,2830965400,14154827,200,1018,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786372,SRX2972824,A554_III_rep3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327835,SAMN07259677,simple,4577,Zea mays,A554_III_rep3,,,,,,,no,,,,,,SRA582564,,public,13C40B19240014044379A1542D201591,76AC1086EE224819818E80497B416BF4
SRR5786199,2018-06-30 00:07:01,2017-06-30 18:43:16,21424373,4284874600,21424373,200,1556,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786199,SRX2972823,A554_III_rep4,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327834,SAMN07259678,simple,4577,Zea mays,A554_III_rep4,,,,,,,no,,,,,,SRA582564,,public,679981583D6444826C1DB06DA10F35BE,501EC146BA19ABB8303393A4C14822DB
SRR5786308,2018-06-30 00:07:02,2017-06-30 18:57:05,12398642,2479728400,12398642,200,906,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786308,SRX2972888,A554_I_rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327899,SAMN07259555,simple,4577,Zea mays,A554_I_rep1,,,,,,,no,,,,,,SRA582564,,public,3379BB2322A419820690779398C21D30,24DBDAD7D37AC122301679D240992725
SRR5786309,2018-06-30 00:07:02,2017-06-30 18:58:51,14202400,2840480000,14202400,200,1038,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786309,SRX2972887,A554_I_rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327898,SAMN07259556,simple,4577,Zea mays,A554_I_rep2,,,,,,,no,,,,,,SRA582564,,public,C7F29551D20292118FA0CC39DF3035B3,CD33706185F45C3CEF2FE62B6BAE1226
SRR5786302,2018-06-30 00:07:02,2017-06-30 18:55:26,16376550,3275310000,16376550,200,1330,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786302,SRX2972894,A554_I_rep3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327905,SAMN07259557,simple,4577,Zea mays,A554_I_rep3,,,,,,,no,,,,,,SRA582564,,public,F6642060C9B3A14C3C00DE07A748B4CE,F0382B39F09642BC75B3F71C520380BD
SRR5786303,2018-06-30 00:07:02,2017-06-30 18:54:14,9247120,1849424000,9247120,200,689,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786303,SRX2972893,A554_I_rep4,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327904,SAMN07259558,simple,4577,Zea mays,A554_I_rep4,,,,,,,no,,,,,,SRA582564,,public,AA479403DDE2E304B656C0CDE6BB14A0,B6CFAB7DC19ECEE51C1220D6FBA1B6B5
SRR5786202,2018-06-30 00:07:01,2017-06-30 18:42:07,15606952,3121390400,15606952,200,1117,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786202,SRX2972820,B73_III_rep11,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327831,SAMN07259673,simple,4577,Zea mays,B73_III_rep11,,,,,,,no,,,,,,SRA582564,,public,54D220604477E77E27288494BC6847E2,6489ECAF05CEA5D60F85ADE10D7EF6B8
SRR5786203,2018-06-30 00:07:01,2017-06-30 18:47:09,19648056,3929611200,19648056,200,1437,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786203,SRX2972819,B73_III_rep12,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327830,SAMN07259674,simple,4577,Zea mays,B73_III_rep12,,,,,,,no,,,,,,SRA582564,,public,205E1C31D817CE7484E0C3662652F6A9,6A89AB2CE019C018C0DDD9A8B75A8F3A
SRR5786306,2018-06-30 00:07:02,2017-06-30 19:01:03,19540178,3908035600,19540178,200,1427,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786306,SRX2972890,B73_I_rep11,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327901,SAMN07259553,simple,4577,Zea mays,B73_I_rep11,,,,,,,no,,,,,,SRA582564,,public,E9D4AA90A86FC4130707FED0C742F368,3CEAE1A87C3DF12F32BA1DF93C2106CC
SRR5786307,2018-06-30 00:07:02,2017-06-30 19:01:20,23168605,4633721000,23168605,200,1657,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786307,SRX2972889,B73_I_rep12,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327900,SAMN07259554,simple,4577,Zea mays,B73_I_rep12,,,,,,,no,,,,,,SRA582564,,public,EE7374757547D1793B68B5D35825D367,744EC359678A8FC8F885588EEA77548C
SRR5786370,2018-06-30 00:07:01,2017-06-30 19:19:53,27183822,5436764400,27183822,200,1991,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786370,SRX2972826,B73xA554_III_rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327837,SAMN07259679,simple,4577,Zea mays,B73xA554_III_rep1,,,,,,,no,,,,,,SRA582564,,public,73D9A5F3D06D93DEECCFC0EF4CDE47F6,37F8E8923119845AC0507B715598B25A
SRR5786371,2018-06-30 00:07:01,2017-06-30 19:17:19,22107087,4421417400,22107087,200,1568,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786371,SRX2972825,B73xA554_III_rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327836,SAMN07259680,simple,4577,Zea mays,B73xA554_III_rep2,,,,,,,no,,,,,,SRA582564,,public,8756DA327B35E918C2D11EDD962A9159,3D12A6BABF037C3C8D5587E57AE1D090
SRR5786204,2018-06-30 00:07:01,2017-06-30 18:48:15,18515564,3703112800,18515564,200,1434,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786204,SRX2972818,B73xA554_III_rep3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327829,SAMN07259681,simple,4577,Zea mays,B73xA554_III_rep3,,,,,,,no,,,,,,SRA582564,,public,128D38450F318F29115818B9B197FA55,7A15BD59B42D905BE08F384A44BEE8F5
SRR5786205,2018-06-30 00:07:01,2017-06-30 18:47:44,16351226,3270245200,16351226,200,1173,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786205,SRX2972817,B73xA554_III_rep4,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327828,SAMN07259682,simple,4577,Zea mays,B73xA554_III_rep4,,,,,,,no,,,,,,SRA582564,,public,7502CA4D5CD8E58AA05FB580836576AE,159B7F4862F97F360DAB2748A9ACE894
SRR5786304,2018-06-30 00:07:02,2017-06-30 18:54:22,9122779,1824555800,9122779,200,739,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005650/SRR5786304,SRX2972892,B73xA554_I_rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP110782,PRJNA391230,,391230,SRS2327903,SAMN07259559,simple,4577,Zea mays,B73xA554_I_rep1,,,,,,,no,,,,,,SRA582564,,public,292848D4B2645BEEFE2C77CA3A577698,782647D7865A32782A63BFDA60F83097
