Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR2078797,2015-10-23 14:53:07,2015-06-25 19:03:25,33834148,3451083096,33834148,102,1275,,https://sra-download.ncbi.nlm.nih.gov/traces/sra30/SRR/002030/SRR2078797,SRX1073651,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059884,PRJNA288155,,288155,SRS972506,SAMN03795286,simple,4577,Zea mays,B73_SAM,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA274542,,public,76A586B8DBB6B5026E8C104C93827E69,C01225CE748C516A3ED0D334D8AC50D9
SRR2078798,2015-10-23 14:53:07,2015-06-25 19:06:55,35386202,3609392604,35386202,102,1326,,https://sra-download.ncbi.nlm.nih.gov/traces/sra30/SRR/002030/SRR2078798,SRX1073652,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059884,PRJNA288155,,288155,SRS972506,SAMN03795286,simple,4577,Zea mays,B73_SAM,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA274542,,public,557C59698DD317D914C1F6A51B0488CE,755F454C45EB9C48207C0CFAE3488FB4
SRR2078799,2015-10-23 14:53:07,2015-06-25 19:39:18,37906509,3866463918,37906509,102,1422,,https://sra-download.ncbi.nlm.nih.gov/traces/sra30/SRR/002030/SRR2078799,SRX1073653,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059884,PRJNA288155,,288155,SRS972506,SAMN03795286,simple,4577,Zea mays,B73_SAM,,,,,,,no,,,,,UNIVERSITY OF MINNESOTA,SRA274542,,public,D8E3FD5B9EE68B22A1D3A387307BB7A6,E052CC27F54184BD5D001EEF44DD1839
SRR3284473,2016-03-25 17:08:16,2016-03-23 08:33:40,26239190,6559797500,26239190,250,2852,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/003207/SRR3284473,SRX1655615,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072207,PRJNA316069,2,316069,SRS1356008,SAMN04574803,simple,4577,Zea mays,GSM2096531,,,,,,,no,,,,,GEO,SRA392890,,public,672332E62E954AE73100293FF0D0404F,3459BD032BFAB61AF82D475F18D5D9D6
SRR3284474,2016-03-25 17:08:16,2016-03-23 08:38:19,33112135,8278033750,33112135,250,3470,,https://sra-download.ncbi.nlm.nih.gov/traces/sra40/SRR/003207/SRR3284474,SRX1655616,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072207,PRJNA316069,2,316069,SRS1356007,SAMN04574804,simple,4577,Zea mays,GSM2096532,,,,,,,no,,,,,GEO,SRA392890,,public,0B0554C35550680AAF1740F318B62D0A,105604208F3B9F8E6231A6CB1D8569D2
SRR3284475,2016-03-25 17:08:16,2016-03-23 08:31:18,26006092,6501523000,26006092,250,2732,,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/003207/SRR3284475,SRX1655617,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072207,PRJNA316069,2,316069,SRS1356006,SAMN04574805,simple,4577,Zea mays,GSM2096533,,,,,,,no,,,,,GEO,SRA392890,,public,81A253F5FF5E3C41196C0EF5A0749D21,60224AF08386C2C9DFF019F3971A26B4
SRR3284476,2016-03-25 17:08:16,2016-03-23 08:33:25,29850742,7462685500,29850742,250,3154,,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/003207/SRR3284476,SRX1655618,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072207,PRJNA316069,2,316069,SRS1356004,SAMN04574806,simple,4577,Zea mays,GSM2096534,,,,,,,no,,,,,GEO,SRA392890,,public,233E7AD586A19717D9127DDF19DBE54F,EC65226C18979DE16C3BD9F3A8329031
SRR3284477,2016-03-25 17:08:16,2016-03-23 08:30:33,26762849,6690712250,26762849,250,2816,,https://sra-download.ncbi.nlm.nih.gov/traces/sra40/SRR/003207/SRR3284477,SRX1655619,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072207,PRJNA316069,2,316069,SRS1356005,SAMN04574807,simple,4577,Zea mays,GSM2096535,,,,,,,no,,,,,GEO,SRA392890,,public,D5A5C2F97562F879954787CD87C2F579,EE8CB115C87E67D72FFF24BF2CFC3DA0
SRR3284478,2016-03-25 17:08:16,2016-03-23 08:29:14,23886348,5971587000,23886348,250,2511,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/003207/SRR3284478,SRX1655620,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072207,PRJNA316069,2,316069,SRS1356003,SAMN04574808,simple,4577,Zea mays,GSM2096536,,,,,,,no,,,,,GEO,SRA392890,,public,DBF97A2DADAD78DB6C1D4C2D4F6F01A4,E658827A248262761445360C4913483C
SRR3284479,2016-03-25 17:08:16,2016-03-23 08:31:53,27766254,6941563500,27766254,250,2943,,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/003207/SRR3284479,SRX1655621,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072207,PRJNA316069,2,316069,SRS1356002,SAMN04574809,simple,4577,Zea mays,GSM2096537,,,,,,,no,,,,,GEO,SRA392890,,public,31C33D2C2E65926782A6A81FA3358268,ADD0661613B0EF808A020FE6B1858020
